Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,101.339411,-55.0,45.0,top
C10,1uF,C_0402_1005Metric,99.9,-66.32,-90.0,top
C11,0.1uF,C_0402_1005Metric,98.96,-54.84,90.0,top
C12,0.1uF,C_0402_1005Metric,96.1,-51.98,90.0,top
C13,10uF,C_0603_1608Metric,93.35,-45.475,180.0,top
C14,10uF,C_0603_1608Metric,93.225,-39.5,180.0,top
C15,33pF,C_0402_1005Metric,92.75,-67.98,-90.0,top
C16,33pF,C_0402_1005Metric,98.27,-67.98,90.0,top
C17,0.1uF,C_0402_1005Metric,93.98,-51.5,180.0,top
C2,0.1uF,C_0402_1005Metric,98.26,-66.05,-90.0,top
C3,0.1uF,C_0402_1005Metric,90.77,-61.0,180.0,top
C4,0.1uF,C_0402_1005Metric,91.48,-56.5,180.0,top
C5,0.1uF,C_0402_1005Metric,99.9,-55.19,90.0,top
C6,0.1uF,C_0402_1005Metric,97.1,-51.77,90.0,top
C7,0.1uF,C_0402_1005Metric,98.1,-50.96,90.0,top
C8,0.1uF,C_0402_1005Metric,101.31,-56.5,0.0,top
C9,0.1uF,C_0402_1005Metric,102.22,-61.0,0.0,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,96.25,-34.46,180.0,top
J2,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,87.36,-56.0,0.0,top
J3,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,105.14,-56.0,0.0,top
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,96.25,-79.89,90.0,top
R1,5.1K,R_0402_1005Metric,97.72,-39.43,-90.0,top
R2,5.1K,R_0402_1005Metric,95.82,-39.43,-90.0,top
R3,27,R_0402_1005Metric,97.95,-54.49,-90.0,top
R4,27,R_0402_1005Metric,96.95,-54.49,-90.0,top
R5,1K,R_0402_1005Metric,96.6,-65.57,180.0,top
R6,10K,R_0402_1005Metric,92.01,-51.5,180.0,top
R7,1K,R_0402_1005Metric,90.9,-48.89,-90.0,top
R8,10K,R_0402_1005Metric,100.8,-73.5,-90.0,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,94.6,-48.5,180.0,top
SW2,SW_Push,SW_Push_SPST_NO_Alps_SKRK,96.6,-73.2,0.0,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,96.25,-60.0,0.0,top
U3,W25Q128JVS,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,93.075,-53.5,0.0,top
U4,MCP1700x-330xxTT,SOT-23,93.4,-42.5375,90.0,top
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,95.51,-67.92,180.0,top
