Comment,Designator,Footprint,LCSC,Quantity
0.1uF,C7,C_0402_1005Metric,,1
5.1K,R1,R_0402_1005Metric,,1
0.1uF,C12,C_0402_1005Metric,,1
0.1uF,C11,C_0402_1005Metric,,1
SW_Push,SW2,SW_Push_SPST_NO_Alps_SKRK,,1
0.1uF,C5,C_0402_1005Metric,,1
10uF,C13,C_0603_1608Metric,,1
0.1uF,C9,C_0402_1005Metric,,1
33pF,C15,C_0402_1005Metric,,1
1K,R7,R_0402_1005Metric,,1
0.1uF,C4,C_0402_1005Metric,,1
0.1uF,C8,C_0402_1005Metric,,1
10uF,C14,C_0603_1608Metric,,1
10K,R6,R_0402_1005Metric,,1
W25Q128JVS,U3,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,,1
1K,R5,R_0402_1005Metric,,1
0.1uF,C6,C_0402_1005Metric,,1
Conn_01x20,J2,PinHeader_1x20_P2.54mm_Vertical,,1
0.1uF,C2,C_0402_1005Metric,,1
Conn_01x03,J4,PinHeader_1x03_P2.54mm_Vertical,,1
MCP1700x-330xxTT,U4,SOT-23,,1
1uF,C1,C_0402_1005Metric,,1
0.1uF,C3,C_0402_1005Metric,,1
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,,1
27,R4,R_0402_1005Metric,,1
1uF,C10,C_0402_1005Metric,,1
0.1uF,C17,C_0402_1005Metric,,1
SW_Push,SW1,SW_Push_SPST_NO_Alps_SKRK,,1
USB_C_Receptacle_USB2.0_14P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,,1
5.1K,R2,R_0402_1005Metric,,1
10K,R8,R_0402_1005Metric,,1
RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,,1
27,R3,R_0402_1005Metric,,1
Conn_01x20,J3,PinHeader_1x20_P2.54mm_Vertical,,1
33pF,C16,C_0402_1005Metric,,1
